Gene,JAK2-10-1-D,JAK2-30-D,JAK2-36-D,JAK2-37-D,JAK2-6-1-D,MF-D-02,MF-D-07,MF-D-29,MF-D-31,MF-D-39,MF-D-40,MF-D-43,NB-01,NB-02,NB-03,NB-04,NC-20B,NC-23B,NC-25B-bulk,NC-26B-Bulk,NC-27B-bulk,NC-28B-bulk,NC-29B-bulk,NC-30B-bulk
A1BG,226,138,233,438,130,148,88,163,88,132,232,240,119,164,230,254,129,63,140,128,160,125,133,203
A1BG-AS1,7,7,8,4,10,6,0,7,6,0,6,22,10,26,39,43,21,13,29,32,28,52,25,45
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,5,0,3,3
A2M,12,15,23,67,7,8,5,29,24,32,28,16,9,136,142,47,24,26,15,59,242,34,60,437
A2M-AS1,17,39,4,28,7,18,1,23,46,37,5,48,20,41,44,23,22,28,36,33,87,43,41,90
A2ML1,0,5,4,7,15,0,3,5,31,4,6,37,0,3,2,3,4,1,3,4,17,10,8,7
A2MP1,1,2,2,3,1,0,0,4,0,5,5,4,2,7,15,5,8,11,12,30,129,18,16,114
A3GALT2,7,8,4,5,3,0,15,5,3,7,2,2,0,3,4,1,15,15,3,3,6,2,2,3
A4GALT,14,113,39,78,24,4,45,56,808,45,85,105,2,18,4,4,5,1,3,8,1,2,1,10
A4GNT,1,3,0,0,9,0,2,1,0,5,0,3,0,1,0,0,0,1,2,0,1,0,4,1
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,590,717,718,1251,319,237,138,522,1116,589,737,1062,522,792,966,1015,800,691,1062,960,937,1101,945,1307
AACS,810,612,311,614,252,174,113,323,356,408,398,374,321,352,482,554,284,218,375,324,380,377,313,621
AACSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AADAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AADAT,46,52,51,108,12,37,3,60,92,50,34,149,0,0,0,0,0,0,2,1,0,0,0,1
AAED1,597,323,358,902,313,344,156,324,292,415,590,263,184,302,210,289,218,143,189,132,298,185,244,403
AAGAB,880,829,852,1547,1155,402,468,795,1163,957,1261,1072,710,1285,1080,1237,1336,927,1101,865,1576,991,1282,2083
AAK1,1322,1506,1716,1692,2341,807,2357,1553,842,1724,2265,626,2386,5753,7663,6243,4092,2649,4214,5448,7508,4844,4643,12127
AAMDC,113,112,102,171,50,36,16,81,126,76,92,156,56,73,67,107,129,60,96,52,106,75,73,167
AAMP,961,1944,1483,1900,1079,490,416,1305,1712,1000,1928,2025,1524,2197,2188,2789,2493,1608,2253,1733,2376,2210,2018,2871
AANAT,12,17,14,43,30,20,13,31,10,14,20,9,9,26,40,41,47,54,26,47,44,63,49,50
AAR2,534,606,660,932,257,268,306,563,565,450,844,562,684,1240,896,1188,925,553,901,726,968,740,837,1309
AARD,17,1,0,6,0,2,2,1,3,3,3,0,1,1,3,4,0,6,0,2,2,1,0,10
AARS,1882,1558,1112,2107,1863,287,402,1040,2608,1436,1527,1702,1051,1689,1776,1979,1296,919,1658,1365,1644,1694,1427,2860
AARS2,271,339,368,435,160,109,90,281,438,308,274,600,312,642,750,809,589,404,743,753,800,814,640,1230
AARSD1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDH,167,174,154,363,187,54,116,152,304,177,215,326,382,643,719,651,509,375,637,569,949,561,678,1492
AASDHPPT,416,477,537,817,494,249,264,309,760,479,572,859,898,1478,1123,1463,1272,787,935,764,1299,900,1251,1995
AASS,185,309,148,181,161,117,41,198,315,310,80,393,58,191,227,202,116,133,263,216,399,189,195,687
AATBC,124,337,132,410,99,230,17,399,39,105,194,302,375,635,732,770,748,742,1263,806,1130,881,1308,734
AATF,2200,1899,1960,2805,2174,716,740,1300,1791,1143,2005,2151,1153,2071,1782,2246,2892,1618,1594,1295,1879,1503,1603,2569
AATK,917,445,357,312,2020,62,846,595,233,326,762,854,236,320,231,920,4759,4512,567,464,346,312,622,110
AATK-AS1,2,0,1,1,1,0,0,0,3,2,0,1,0,1,1,6,0,1,1,0,0,0,0,1
ABALON,62,57,24,46,25,14,160,49,66,69,54,45,16,34,26,18,17,17,17,12,17,22,26,28
ABAT,213,295,178,247,150,68,84,374,188,163,263,334,482,863,811,1195,2069,1003,767,517,873,570,850,1106
ABCA1,211,288,838,611,1564,355,1285,392,436,617,668,329,589,948,896,1104,4860,2460,657,735,1323,440,773,1221
ABCA10,6,16,13,5,2,3,3,10,6,13,8,10,10,19,31,29,22,23,22,27,79,33,23,60
ABCA11P,40,48,48,65,17,23,18,35,37,29,49,74,46,62,108,95,102,49,61,79,158,75,87,220
ABCA12,3,1,3,2,0,3,0,1,1,2,0,1,0,0,2,3,1,0,0,2,3,0,0,3
ABCA13,8945,2877,2022,84,9999,21,4674,961,72,1275,181,347,45,30,17,25,53,144,35,14,66,10,113,111
ABCA17P,1,2,1,1,1,4,4,3,5,5,1,2,2,3,7,10,2,7,8,12,6,7,5,10
ABCA2,850,3203,1414,1617,1057,829,983,1922,1547,2520,1270,3151,1618,4127,5171,4150,4913,5092,4737,6522,4779,7519,5781,6861
ABCA3,740,486,214,1182,83,139,29,525,377,756,324,203,167,487,382,379,282,214,292,355,352,460,305,605
ABCA4,0,2,0,0,1,0,3,2,4,4,1,0,0,1,0,0,1,4,0,0,3,3,2,0
ABCA5,421,577,419,251,382,153,205,268,303,482,211,374,245,345,849,538,680,687,630,957,1599,761,813,1866
ABCA6,6,7,19,5,5,14,5,41,9,13,14,3,26,23,29,25,23,16,24,17,36,20,28,36
ABCA7,6188,5394,3159,3188,5751,1699,2438,3916,3786,3109,2110,4074,2162,2469,5842,5960,14390,10627,7909,7693,5985,7692,7302,7290
ABCA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA9,3,2,8,1,0,7,1,9,1,11,7,0,2,7,13,12,7,8,11,11,31,9,19,32
ABCA9-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB1,285,464,266,1017,141,79,159,258,342,1365,344,444,446,1223,920,1234,1126,443,849,859,1119,1155,1230,1662
ABCB10,1632,2057,1321,1736,791,461,1215,1735,10894,2486,2026,1711,848,1161,1074,1177,989,662,880,765,1201,844,1061,1678
ABCB11,8,7,34,31,1,0,1,0,2,4,2,13,0,1,3,1,3,12,1,0,0,0,1,0
ABCB4,3,30,11,55,10,27,9,24,26,21,11,3,92,73,164,225,102,69,111,106,254,96,86,449
ABCB5,7,8,4,4,0,0,9,7,17,8,9,1,0,0,0,0,1,0,0,0,0,0,0,2
ABCB6,1332,1201,443,935,294,295,314,1212,1595,1315,815,1146,93,133,218,175,210,147,245,228,188,244,180,325
ABCB7,663,793,717,1212,699,334,327,567,934,578,565,956,522,906,871,1044,810,498,730,637,1180,694,811,1700
ABCB8,313,547,417,697,157,169,99,428,580,392,415,558,435,704,1027,953,646,534,1022,1035,873,1123,803,1252
ABCB9,57,80,60,227,9,15,21,54,123,91,44,110,28,36,75,74,31,32,69,57,46,65,33,78
ABCC1,2949,3137,3033,3295,2801,1078,2064,2803,2565,2338,3343,4074,1981,4032,4113,3867,3855,1877,3081,3118,3581,3194,2898,5662
ABCC10,573,545,467,526,267,253,116,638,435,458,488,743,798,1327,1761,1620,1091,1089,1602,1674,1570,1751,1563,2231
ABCC11,2,1,1,6,0,1,1,0,2,2,3,2,0,2,6,2,5,4,0,2,4,0,3,3
ABCC12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC13,21,31,16,1,38,1,274,128,36,126,219,31,8,4,0,2,1,2,1,0,3,1,0,0
ABCC2,26,53,84,47,71,31,68,37,50,47,31,38,52,49,138,90,179,219,112,106,140,96,108,245
ABCC3,1975,1101,1265,1185,708,861,437,3400,1259,1926,1474,704,468,1111,642,881,505,721,1067,530,1182,534,861,623
ABCC4,3223,2752,1452,1978,618,1070,513,2758,3568,3512,1821,3110,378,1034,512,667,500,262,344,386,606,317,381,1154
ABCC5,899,957,501,1341,314,184,271,780,2035,1016,600,1637,678,970,1350,1329,3451,2399,1932,1802,2239,1832,1919,2897
ABCC5-AS1,0,0,2,1,0,0,0,1,1,3,1,1,1,0,0,1,0,0,0,1,1,0,0,1
ABCC6,213,94,79,87,263,21,55,165,99,111,50,494,50,119,154,178,281,293,185,107,132,140,176,116
ABCC6P1,12,0,0,0,17,1,2,6,5,4,1,10,4,1,1,0,21,12,2,1,1,0,5,3
ABCC6P2,4,0,1,1,0,0,1,0,10,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0
ABCC8,0,1,0,11,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0
ABCC9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1,732,786,477,953,679,391,333,812,261,321,677,541,795,1105,1003,1405,1234,766,969,840,824,831,1051,788
ABCD2,18,79,66,18,10,48,12,81,26,36,55,8,577,795,909,775,750,321,572,701,1187,637,650,1809
ABCD3,408,543,434,452,512,139,424,439,472,395,499,597,738,1171,1028,1221,1008,657,964,895,1447,862,986,1905
ABCD4,470,893,801,928,401,216,325,622,540,565,668,969,563,884,1276,1244,966,845,1461,1347,1418,1532,1278,2197
ABCE1,1333,1822,2287,2760,807,747,545,1135,2424,1455,1819,2690,1642,1985,2094,2081,1724,1016,1539,1457,2233,1502,1751,3240
ABCF1,1478,1274,1501,2068,1425,645,1105,1138,1772,1519,1536,1891,1421,3169,2765,3044,2483,1578,2391,2055,2769,2523,2155,3636
ABCF2,787,973,657,1401,376,291,157,606,1281,584,864,1369,1139,1701,1874,1826,1594,925,1466,1413,1718,1488,1615,2583
ABCF3,970,1091,859,1037,1081,252,730,995,622,922,728,945,963,1660,1807,1727,1772,1384,1736,1675,1624,1857,1704,2573
ABCG1,85,182,293,193,133,171,245,114,117,181,252,208,475,398,593,757,2232,1299,792,873,813,567,710,863
ABCG2,65,48,26,42,24,6,89,85,230,194,110,78,9,4,60,44,56,14,13,39,23,33,5,36
ABCG4,3,3,0,0,1,1,0,5,1,2,6,1,1,0,0,0,2,1,0,0,0,0,0,2
ABCG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
ABCG8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
ABHD1,18,13,29,34,12,3,4,22,9,23,9,24,9,26,24,25,15,12,24,30,19,40,27,43
ABHD10,326,502,710,954,241,171,299,333,677,467,535,592,652,769,777,956,878,572,810,720,1096,766,890,1546
ABHD11,288,343,282,689,148,71,77,304,285,275,416,363,169,292,272,283,358,311,283,246,294,273,271,400
ABHD11-AS1,40,10,10,25,7,2,7,6,13,4,14,2,3,10,7,4,5,9,2,0,1,1,1,2
ABHD12,895,763,711,1605,688,492,320,747,696,800,1099,499,428,820,678,925,575,394,605,486,639,606,548,993
ABHD12B,97,30,63,27,46,13,71,41,23,27,14,12,18,23,35,16,102,116,25,22,30,19,33,29
ABHD13,1065,935,1111,1336,999,653,1813,873,625,1107,1076,690,974,1375,1382,1418,2021,1504,1132,955,1792,1057,1372,2558
ABHD14A,133,105,101,198,38,30,22,105,139,102,103,182,111,148,196,169,111,46,135,129,143,147,94,197
ABHD14A-ACY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD14B,1845,2094,1800,3050,928,1232,494,1583,2422,1887,2652,2639,1183,2159,1912,2377,1857,750,1691,1517,1656,1615,1424,2805
ABHD15,149,364,311,333,117,193,102,348,199,238,347,307,591,1516,1353,1277,1030,725,1075,1104,1180,1416,1061,1933
ABHD16A,2334,2290,1493,2435,1830,707,916,2238,2606,2009,2197,1959,864,1436,1411,1703,2279,1868,1584,1210,1462,1501,1323,1890
ABHD16B,158,123,116,146,168,59,55,128,170,121,142,225,114,197,309,380,230,158,233,179,203,233,191,274
ABHD17A,2450,2043,1559,2547,2079,1021,1475,2247,1448,1849,2518,1295,2167,4769,4039,4103,1929,2332,2586,2628,2241,3158,2177,3035
ABHD17B,341,374,617,1171,341,198,609,214,729,503,492,480,591,1144,879,1135,953,580,656,583,915,662,702,1216
ABHD17C,42,34,68,65,110,9,29,35,42,47,36,107,50,150,75,104,86,84,75,67,117,60,66,148
ABHD2,3722,3379,2886,4620,6526,868,5555,2633,4109,2093,4563,4871,4514,8538,6464,7552,15770,16853,5423,4370,7370,4452,6010,9031
ABHD3,256,531,547,644,677,192,129,618,309,381,513,780,614,962,1086,1200,3570,2588,1396,1088,1815,1255,1588,2557
ABHD4,1119,773,574,1387,899,278,678,695,847,929,713,786,404,855,595,940,1845,1441,629,542,642,604,630,887
ABHD5,1991,1187,1031,1076,2832,223,1833,831,1059,934,703,1146,472,916,716,992,4356,3962,729,521,930,378,880,967
ABHD6,24,50,37,118,68,25,15,79,20,48,112,74,192,487,240,344,281,154,289,229,342,280,257,426
ABHD8,455,309,324,462,393,193,191,389,202,310,329,381,311,503,427,546,364,213,293,239,356,321,310,426
ABI1,3436,3058,2774,3881,4889,1438,3405,2436,2443,3085,3917,2303,2260,4272,3371,4087,5467,3962,2849,2370,4025,2390,3199,5819
ABI2,888,1157,1023,1698,262,351,212,985,1387,1211,1205,1238,633,862,1330,1212,867,534,970,984,1428,1098,987,2359
ABI3,118,430,288,982,1262,255,234,734,235,294,1287,188,1158,2922,1558,2316,1797,1524,1723,1268,2334,1814,1466,1944
ABI3BP,12,8,7,4,3,4,1,15,11,9,8,12,2,7,9,5,9,4,4,4,13,2,1,12
ABL1,1268,1508,1113,2146,677,700,632,1049,1490,1296,1829,1290,1129,2151,1935,2299,1510,913,1398,1283,1626,1437,1374,2439
ABL2,413,527,599,644,569,276,251,458,591,421,684,534,534,1134,1281,1200,932,637,716,839,1454,977,950,2487
ABLIM1,1138,1646,2424,1550,558,1106,1034,2420,1904,2103,2003,1815,4995,7760,12119,11364,8039,2736,8403,7948,8659,7542,6713,18844
ABLIM2,4,7,9,14,0,6,4,7,3,5,6,3,13,61,44,53,40,22,39,28,37,53,33,78
