Target,total_coverage,average_coverage,sample_total_cvg,sample_mean_cvg,sample_granular_Q1,sample_granular_median,sample_granular_Q3,sample_%_above_15
chr1:36931668-36932582,602925,658.93,602925,658.93,>500,>500,>500,100.0
chr1:36932801-36933603,586803,730.76,586803,730.76,>500,>500,>500,100.0
chr1:43814900-43815163,418344,1584.64,418344,1584.64,>500,>500,>500,100.0
chr1:115256391-115256650,36057,138.68,36057,138.68,117,124,125,100.0
chr1:115258643-115258903,644918,2470.95,644918,2470.95,>500,>500,>500,100.0
chr2:25457118-25457364,162621,658.38,162621,658.38,>500,>500,>500,100.0
chr2:25458548-25458786,541230,2264.56,541230,2264.56,>500,>500,>500,100.0
chr2:25459775-25460041,382713,1433.38,382713,1433.38,>500,>500,>500,100.0
chr2:25461953-25462195,453960,1868.15,453960,1868.15,>500,>500,>500,100.0
chr2:25463141-25463777,1374918,2158.43,1374918,2158.43,>500,>500,>500,100.0
chr2:25464397-25464634,248072,1042.32,248072,1042.32,>500,>500,>500,100.0
chr2:25466739-25467236,546085,1096.56,546085,1096.56,>500,>500,>500,100.0
chr2:25467373-25467628,212914,831.70,212914,831.70,>500,>500,>500,100.0
chr2:25468088-25468344,324589,1262.99,324589,1262.99,>500,>500,>500,100.0
chr2:25468857-25469301,622815,1399.58,622815,1399.58,>500,>500,>500,100.0
chr2:25469457-25469727,129422,477.57,129422,477.57,429,431,432,100.0
chr2:25469890-25470160,116183,428.72,116183,428.72,380,393,394,100.0
chr2:25470428-25470654,290421,1279.39,290421,1279.39,>500,>500,>500,100.0
chr2:25470878-25471316,554306,1262.66,554306,1262.66,>500,>500,>500,100.0
chr2:25472496-25472720,286280,1272.36,286280,1272.36,>500,>500,>500,100.0
chr2:25475031-25475256,302,1.34,302,1.34,1,3,3,0.0
chr2:25497774-25497998,42858,190.48,42858,190.48,142,147,283,100.0
chr2:25498341-25498567,295518,1301.84,295518,1301.84,>500,>500,>500,100.0
chr2:25505227-25505673,390650,873.94,390650,873.94,>500,>500,>500,100.0
chr2:25522978-25523239,123578,471.67,123578,471.67,408,414,415,100.0
chr2:25536752-25536976,272126,1209.45,272126,1209.45,>500,>500,>500,100.0
chr2:198266432-198266898,980831,2100.28,980831,2100.28,273,>500,>500,100.0
chr2:198267158-198267798,1274916,1988.95,1274916,1988.95,>500,>500,>500,100.0
chr2:209113063-209113487,523378,1231.48,523378,1231.48,>500,>500,>500,100.0
chr3:38181853-38182515,927139,1398.40,927139,1398.40,>500,>500,>500,100.0
chr3:38182593-38182867,250526,911.00,250526,911.00,>500,>500,>500,100.0
chr3:105438859-105439305,285301,638.26,285301,638.26,432,>500,>500,100.0
chr3:105452823-105453095,103245,378.19,103245,378.19,340,345,346,100.0
chr3:128199834-128200320,249740,512.81,249740,512.81,338,488,>500,100.0
chr3:128200616-128200887,58553,215.27,58553,215.27,192,202,202,100.0
chr3:128202671-128202898,265357,1163.85,265357,1163.85,>500,>500,>500,100.0
chr3:128204540-128205382,664290,788.01,664290,788.01,369,>500,>500,100.0
chr3:128205614-128206075,332805,720.36,332805,720.36,303,>500,>500,100.0
chr4:55140978-55141252,231681,842.48,231681,842.48,>500,>500,>500,100.0
chr4:55144031-55144259,480483,2098.18,480483,2098.18,>500,>500,>500,100.0
chr4:55151978-55152212,542316,2307.73,542316,2307.73,>500,>500,>500,100.0
chr4:55561648-55562090,1305889,2947.83,1305889,2947.83,>500,>500,>500,100.0
chr4:55589716-55589940,517756,2301.14,517756,2301.14,>500,>500,>500,100.0
chr4:55591995-55592269,99386,361.40,99386,361.40,327,334,334,100.0
chr4:55593354-55593824,709271,1505.88,709271,1505.88,>500,>500,>500,100.0
chr4:55594147-55594419,395762,1449.68,395762,1449.68,>500,>500,>500,100.0
chr4:55599204-55599472,117574,437.08,117574,437.08,389,392,395,100.0
chr4:106154926-106158692,12913633,3428.09,12913633,3428.09,>500,>500,>500,100.0
chr4:106162404-106162670,586845,2197.92,586845,2197.92,>500,>500,>500,100.0
chr4:106163951-106164179,670725,2928.93,670725,2928.93,>500,>500,>500,100.0
chr4:106164701-106164966,961204,3613.55,961204,3613.55,>500,>500,>500,100.0
chr4:106180744-106181005,400756,1529.60,400756,1529.60,>500,>500,>500,100.0
chr4:106182810-106183050,431255,1789.44,431255,1789.44,>500,>500,>500,100.0
chr4:106190735-106190981,171228,693.23,171228,693.23,>500,>500,>500,100.0
chr4:106193691-106194163,1057222,2235.14,1057222,2235.14,>500,>500,>500,100.0
chr4:106196077-106197717,4018767,2448.97,4018767,2448.97,>500,>500,>500,100.0
chr4:153245306-153245758,702707,1551.23,702707,1551.23,>500,>500,>500,100.0
chr4:153247128-153247584,416813,912.06,416813,912.06,306,>500,>500,100.0
chr4:153249332-153249764,414035,956.20,414035,956.20,>500,>500,>500,100.0
chr5:170837493-170837717,272059,1209.15,272059,1209.15,>500,>500,>500,100.0
chr7:50358629-50358889,421131,1613.53,421131,1613.53,>500,>500,>500,100.0
chr7:50367205-50367433,396369,1730.87,396369,1730.87,>500,>500,>500,100.0
chr7:50444202-50444666,1010825,2173.82,1010825,2173.82,>500,>500,>500,100.0
chr7:50450213-50450462,426426,1705.70,426426,1705.70,>500,>500,>500,100.0
chr7:50455014-50455274,93980,360.08,93980,360.08,310,316,318,100.0
chr7:50459398-50459640,566261,2330.29,566261,2330.29,>500,>500,>500,100.0
chr7:50467593-50468449,1017701,1187.52,1017701,1187.52,442,>500,>500,100.0
chr7:101459282-101459534,4053,16.02,4053,16.02,14,15,15,19.8
