Name	Length	EffectiveLength	TPM	NumReads
NR_103451	865	709.843	0	0
NM_001243523	577	421.979	0	0
NR_038931	2432	2276.7	0	0
NR_110396	2909	2753.7	1.03475	47.1841
NR_038401	2146	1990.7	0	0
NR_027354	1104	948.695	0	0
NR_027311	2290	2134.7	0	0
NM_001257177	2344	2188.7	0.137956	5
NR_026954	2761	2605.7	1.34419	58
NR_036538	1964	1808.7	0	0
NR_002186	2760	2604.7	18.3024	789.421
NR_003542	751	595.878	37.8736	373.714
NR_015444	2012	1856.7	0.135314	4.16033
NR_024013	608	452.958	0.399962	3
NR_024365	2241	2085.7	0.0789921	2.72822
NR_027312	2293	2137.7	0	0
NR_027417	2097	1941.7	0.189785	6.10221
NR_110209	2275	2119.7	0	0
NR_039980	2328	2172.7	2.92639	105.287
NR_033896	1022	866.695	1.25986	18.0814
NR_026998	1016	860.695	0.491251	7.00161
NR_026964	5022	4866.7	0.199135	16.0482
NR_030728	1739	1583.7	0	0
NR_109948	4824	4668.7	0	0
NR_027240	4162	4006.7	0.203186	13.4811
NR_033748	1724	1568.7	0	0
NR_026657	502	347.024	0	0
NR_046107	3729	3573.7	0	0
NR_102268	670	514.921	0	0
NR_034127	1796	1640.7	4.16509	113.161
NR_036691	1354	1198.7	0	0
NR_026877	2211	2055.7	0.0881287	3
NR_026967	2078	1922.7	1.35187	43.0417
NR_027282	2112	1956.7	0.463966	15.0333
NR_104171	2365	2209.7	0.0546579	2
NR_110248	1880	1724.7	0	0
NR_110737	781	625.867	0	0
NR_110738	710	554.903	0	0
NR_110804	2265	2109.7	0	0
NR_120363	2535	2379.7	0.389602	15.3528
NR_120402	1301	1145.7	0	0
NR_024498	3653	3497.7	3.55154	205.705
NR_120424	1762	1606.7	0	0
NR_120422	1959	1803.7	0	0
NR_120450	2459	2303.7	0	0
NR_120606	1182	1026.7	0	0
NR_120653	2042	1886.7	0.161198	5.03625
NR_121579	1139	983.695	0.375391	6.11489
NR_121582	3031	2875.7	0.283255	13.4886
NR_121623	860	704.844	0	0
NR_122121	692	536.911	1.12474	10
NR_125390	2218	2062.7	0	0
NR_125428	990	834.786	0.0723403	1
NR_125855	693	537.91	0	0
NR_125868	898	742.826	0	0
NR_125862	1548	1392.7	0	0
NR_125894	2121	1965.7	0	0
NR_125895	643	487.933	0	0
NR_125909	2838	2682.7	0	0
NR_039650	86	20.3964	0	0
NR_120521	1187	1031.7	0.175643	3.00073
NR_039766	55	11.483	0	0
NR_037436	97	22.8306	0	0
NR_036243	76	17.3675	0	0
NR_028471	1060	904.695	0	0
NR_027251	1698	1542.7	1.41247	36.0832
NR_047029	798	642.864	0	0
NR_047015	411	256.134	0	0
NR_046547	307	152.896	1.57986	4
NR_039784	66	14.7247	0	0
NR_045529	4983	4827.7	0.0750527	6
NR_110525	768	612.872	0	0
NR_037839	880	724.834	0	0
NR_003082	2070	1914.7	0	0
NR_125932	1506	1350.7	0.178929	4.00206
NR_046262	5346	5190.7	7.5386	647.98
NR_024274	616	460.954	0	0
NR_037184	631	475.941	0.254315	2.00434
NR_103717	2186	2030.7	0.0297379	1
NR_027080	1371	1215.7	0	0
NR_126347	779	623.867	0	0
NR_126360	311	156.818	0	0
NR_126379	715	559.897	0	0
NR_126377	2359	2203.7	0	0
NR_126390	3939	3783.7	0	0
NR_126392	618	462.951	0	0
NR_126452	1428	1272.7	0	0
NR_049849	60	12.9433	0	0
NR_049883	72	16.3558	0	0
NR_049882	78	17.9306	0	0
NR_027695	860	704.844	0	0
