Name	Length	EffectiveLength	TPM	NumReads
NR_103451	865	689.235	0.0756782	1
NM_001243523	577	401.41	0	0
NR_038931	2432	2256.11	0	0
NR_110396	2909	2733.11	0.967052	50.6721
NR_038401	2146	1970.11	0	0
NR_027354	1104	928.114	0.120019	2.13556
NR_027311	2290	2114.11	0	0
NM_001257177	2344	2168.11	0.0301673	1.25395
NR_026954	2761	2585.11	0	0
NR_036538	1964	1788.11	0.0291704	1
NR_002186	2760	2584.11	10.7197	531.074
NR_003542	751	575.272	0.181341	2
NR_015444	2012	1836.11	0.0568157	2
NR_024013	608	432.378	0.603177	5
NR_024365	2241	2065.11	0	0
NR_027312	2293	2117.11	0	0
NR_027417	2097	1921.11	0	0
NR_110209	2275	2099.11	0.397578	16
NR_039980	2328	2152.11	7.62121	314.449
NR_033896	1022	846.114	1.60281	26
NR_026998	1016	840.114	0.559491	9.01141
NR_026964	5022	4846.11	0.0108707	1.00998
NR_030728	1739	1563.11	0	0
NR_109948	4824	4648.11	0	0
NR_027240	4162	3986.11	0.145439	11.1146
NR_033748	1724	1548.11	0	0
NR_026657	502	326.61	0.798507	5
NR_046107	3729	3553.11	0	0
NR_102268	670	494.321	0	0
NR_034127	1796	1620.11	5.24439	162.893
NR_036691	1354	1178.11	0	0
NR_026877	2211	2035.11	0.0256301	1
NR_026967	2078	1902.11	1.43572	52.356
NR_027282	2112	1936.11	1.21972	45.2743
NR_104171	2365	2189.11	0.122115	5.12507
NR_110248	1880	1704.11	0	0
NR_110737	781	605.262	0.172355	2
NR_110738	710	534.292	0	0
NR_110804	2265	2089.11	0	0
NR_120363	2535	2359.11	0.235448	10.6489
NR_120402	1301	1125.11	0	0
NR_024498	3653	3477.11	4.76394	317.576
NR_120424	1762	1586.11	0	0
NR_120422	1959	1783.11	0	0
NR_120450	2459	2283.11	0.0229256	1.00348
NR_120606	1182	1006.11	0	0
NR_120653	2042	1866.11	0	0
NR_121579	1139	963.114	0.609621	11.2564
NR_121582	3031	2855.11	0.150161	8.21942
NR_121623	860	684.238	0	0
NR_122121	692	516.304	1.41436	14
NR_125390	2218	2042.11	0	0
NR_125428	990	814.197	0	0
NR_125855	693	517.303	0	0
NR_125868	898	722.223	0	0
NR_125862	1548	1372.11	0	0
NR_125894	2121	1945.11	0	0
NR_125895	643	467.342	0	0
NR_125909	2838	2662.11	0	0
NR_039650	86	18.2316	0	0
NR_120521	1187	1011.11	0.257934	5
NR_039766	55	11.2305	0	0
NR_037436	97	20.3243	0	0
NR_036243	76	15.9601	0	0
NR_028471	1060	884.114	0	0
NR_027251	1698	1522.11	1.41164	41.1938
NR_047029	798	622.255	0	0
NR_047015	411	236.471	0	0
NR_046547	307	136.872	0	0
NR_039784	66	13.7782	0	0
NR_045529	4983	4807.11	0.616472	56.8145
NR_110525	768	592.267	0	0
NR_037839	880	704.232	0	0
NR_003082	2070	1894.11	0	0
NR_125932	1506	1330.11	0.0785149	2.00218
NR_046262	5346	5170.11	8.67281	859.65
NR_024274	616	440.37	0	0
NR_037184	631	455.353	0.229097	2
NR_103717	2186	2010.11	0	0
NR_027080	1371	1195.11	0	0
NR_126347	779	603.263	0	0
NR_126360	311	140.535	0	0
NR_126379	715	539.287	0.0967204	1
NR_126377	2359	2183.11	0	0
NR_126390	3939	3763.11	0	0
NR_126392	618	442.368	0	0
NR_126452	1428	1252.11	0	0
NR_049849	60	12.3536	0	0
NR_049883	72	15.1123	0	0
NR_049882	78	16.4227	0	0
NR_027695	860	684.238	0	0
NR_125806	1095	919.114	0	0
NR_003945	8741	8565.11	59.2455	9728.59
NR_031690	77	16.1981	0	0
NR_030384	95	20.0894	0	0
NR_031735	80	16.8794	0	0
NR_030194	87	18.4506	0	0
NR_030590	79	16.6499	0	0
