Name	Length	EffectiveLength	TPM	NumReads
NR_103451	865	655.45	0.0962933	1
NM_001243523	577	368.672	0	0
NR_038931	2432	2222.09	2.09974	73.9249
NR_110396	2909	2699.09	8.11817	347.168
NR_038401	2146	1936.09	0	0
NR_027354	1104	894.087	0.427354	6.05385
NR_027311	2290	2080.09	0	0
NM_001257177	2344	2134.09	0	0
NR_026954	2761	2551.09	0	0
NR_036538	1964	1754.09	0	0
NR_002186	2760	2550.09	14.5179	586.576
NR_003542	751	541.678	3.37903	29
NR_015444	2012	1802.09	0	0
NR_024013	608	399.317	0.790293	5
NR_024365	2241	2031.09	0	0
NR_027312	2293	2083.09	0	0
NR_027417	2097	1887.09	0	0
NR_110209	2275	2065.09	0.305631	10
NR_039980	2328	2118.09	20.8506	699.723
NR_033896	1022	812.087	2.25396	29.001
NR_026998	1016	806.087	0.469953	6.00206
NR_026964	5022	4812.09	0	0
NR_030728	1739	1529.09	0	0
NR_109948	4824	4614.09	0	0
NR_027240	4162	3952.09	0.307336	19.2444
NR_033748	1724	1514.09	0	0
NR_026657	502	295.091	0.213885	1
NR_046107	3729	3519.09	0	0
NR_102268	670	460.919	0	0
NR_034127	1796	1586.09	6.57104	165.13
NR_036691	1354	1144.09	0	0
NR_026877	2211	2001.09	0	0
NR_026967	2078	1868.09	2.23703	66.2114
NR_027282	2112	1902.09	1.11225	33.5194
NR_104171	2365	2155.09	1.18582	40.49
NR_110248	1880	1670.09	0.192203	5.08584
NR_110737	781	571.61	0	0
NR_110738	710	500.769	0.126037	1
NR_110804	2265	2055.09	1.2811	41.7137
NR_120363	2535	2325.09	0	0
NR_120402	1301	1091.09	0	0
NR_024498	3653	3443.09	9.1059	496.747
NR_120424	1762	1552.09	8.16599	200.812
NR_120422	1959	1749.09	0	0
NR_120450	2459	2249.09	0	0
NR_120606	1182	972.087	0	0
NR_120653	2042	1832.09	0	0
NR_121579	1139	929.087	0.802667	11.8156
NR_121582	3031	2821.09	2.72904	121.981
NR_121623	860	650.456	0	0
NR_122121	692	482.818	0.523061	4.0013
NR_125390	2218	2008.09	0.50289	16
NR_125428	990	780.344	0	0
NR_125855	693	483.816	0	0
NR_125868	898	688.411	0	0
NR_125862	1548	1338.09	0	0
NR_125894	2121	1911.09	0	0
NR_125895	643	434.051	0	0
NR_125909	2838	2628.09	0	0
NR_039650	86	18.9638	0	0
NR_120521	1187	977.087	0.129191	2
NR_039766	55	6.27423	0	0
NR_037436	97	19.4403	0	0
NR_036243	76	15.4636	0	0
NR_028471	1060	850.087	0	0
NR_027251	1698	1488.09	4.8571	114.517
NR_047029	798	588.582	0	0
NR_047015	411	208.279	0	0
NR_046547	307	116.885	0	0
NR_039784	66	10.8346	0	0
NR_045529	4983	4773.09	1.76122	133.192
NR_110525	768	558.639	0	0
NR_037839	880	670.43	0	0
NR_003082	2070	1860.09	0	0
NR_125932	1506	1296.09	0.0975001	2.00218
NR_046262	5346	5136.09	11.3858	926.536
NR_024274	616	407.239	0	0
NR_037184	631	422.125	1.79422	12
NR_103717	2186	1976.09	0	0
NR_027080	1371	1161.09	0	0
NR_126347	779	569.614	0	0
NR_126360	311	120.159	0	0
NR_126379	715	505.757	0	0
NR_126377	2359	2149.09	0	0
NR_126390	3939	3729.09	1.65583	97.8325
NR_126392	618	409.222	0	0
NR_126452	1428	1218.09	0	0
NR_049849	60	8.13581	0	0
NR_049883	72	13.6762	0	0
NR_049882	78	16.4308	0	0
NR_027695	860	650.456	0	0
NR_125806	1095	885.087	0	0
NR_003945	8741	8531.09	28.4468	3845.05
NR_031690	77	15.9421	0	0
NR_030384	95	19.5366	0	0
NR_031735	80	17.3568	0	0
NR_030194	87	19.1362	0	0
NR_030590	79	16.9118	0	0
NR_030307	96	19.4933	0	0
NR_039793	76	15.4636	0	0
NR_030337	96	19.4933	0	0
NR_036145	84	18.597	0	0
NR_036143	84	18.597	0	0
NR_031658	117	17.5943	0	0
NR_030363	98	19.3541	0	0
NR_030356	94	19.5738	0	0
NR_031642	84	18.597	0	0
NR_031708	84	18.597	0	0
NR_030589	77	15.9421	0	0
NR_030581	79	16.9118	0	0
NR_039659	55	6.27423	0	0
NR_031604	76	15.4636	0	0
NR_031746	49	8.14664	0	0
NR_030408	66	10.8346	0	0
NR_030309	75	15.0093	0	0
NR_031677	102	18.8039	0	0
NR_030331	98	19.3541	0	0
NR_030628	53	5.74759	0	0
NR_037442	65	10.3884	0	0
NR_030760	98	19.3541	0	0
NR_039933	76	15.4636	0	0
NR_030289	79	16.9118	0	0
NR_031715	47	8.8144	0	0
NR_031752	100	19.0796	0	0
NR_031667	86	18.9638	0	0
NR_030362	94	19.5738	0	0
NR_031646	86	18.9638	0	0
NR_030348	97	19.4403	0	0
NR_030395	100	19.0796	0	0
NR_031710	79	16.9118	0	0
NR_031624	116	17.6239	0	0
NR_039871	76	15.4636	0	0
NR_039794	76	15.4636	0	0
NR_030280	96	19.4933	0	0
NR_030626	56	6.58545	0	0
NR_030641	94	19.5738	0	0
NR_030322	95	19.5366	0	0
NR_031635	90	19.5386	0	0
NR_031683	72	13.6762	0	0
NR_036140	84	18.597	0	0
NR_049832	65	10.3884	0	0
NR_030279	68	11.7709	0	0
NR_030340	95	19.5366	0	0
NR_030374	94	19.5738	0	0
NR_126517	909	699.405	0	0
NR_002954	147	20.6525	12.2243	4
NR_030342	67	11.2943	0	0
