Name	Length	EffectiveLength	TPM	NumReads
NR_103451	865	688.256	0.163353	2
NM_001243523	577	400.433	0	0
NR_038931	2432	2255.11	0	0
NR_110396	2909	2732.11	0.890324	43.2713
NR_038401	2146	1969.11	0	0
NR_027354	1104	927.115	0.182807	3.01494
NR_027311	2290	2113.11	0	0
NM_001257177	2344	2167.11	0	0
NR_026954	2761	2584.11	0	0
NR_036538	1964	1787.11	0.094366	3
NR_002186	2760	2583.11	13.096	601.777
NR_003542	751	574.295	0.293652	3
NR_015444	2012	1835.11	0	0
NR_024013	608	431.399	1.9546	15
NR_024365	2241	2064.11	0	0
NR_027312	2293	2116.11	0	0
NR_027417	2097	1920.11	0	0
NR_110209	2275	2098.11	0.21436	8.00068
NR_039980	2328	2151.11	6.5942	252.336
NR_033896	1022	845.115	1.52989	23
NR_026998	1016	839.115	0.535939	8
NR_026964	5022	4845.11	0	0
NR_030728	1739	1562.11	0	0
NR_109948	4824	4647.11	0	0
NR_027240	4162	3985.11	0.128406	9.10292
NR_033748	1724	1547.11	0	0
NR_026657	502	325.656	0	0
NR_046107	3729	3552.11	0	0
NR_102268	670	493.352	0	0
NR_034127	1796	1619.11	3.76858	108.545
NR_036691	1354	1177.11	0	0
NR_026877	2211	2034.11	0	0
NR_026967	2078	1901.11	1.0417	35.2295
NR_027282	2112	1935.11	0.93789	32.2858
NR_104171	2365	2188.11	0	0
NR_110248	1880	1703.11	0.0661108	2.00295
NR_110737	781	604.288	0.208133	2.23737
NR_110738	710	533.32	0	0
NR_110804	2265	2088.11	0.555507	20.6347
NR_120363	2535	2358.11	0.394325	16.5414
NR_120402	1301	1124.11	0	0
NR_024498	3653	3476.11	2.68118	165.796
NR_120424	1762	1585.11	0	0
NR_120422	1959	1782.11	0	0
NR_120450	2459	2282.11	0.000104376	0.00423732
NR_120606	1182	1005.11	0	0
NR_120653	2042	1865.11	0	0
NR_121579	1139	962.115	0.662221	11.334
NR_121582	3031	2854.11	0.101579	5.15736
NR_121623	860	683.26	0	0
NR_122121	692	515.333	0.764064	7.0044
NR_125390	2218	2041.11	0.027541	1
NR_125428	990	813.213	0	0
NR_125855	693	516.332	0	0
NR_125868	898	721.239	0	0
NR_125862	1548	1371.11	0	0
NR_125894	2121	1944.11	0	0
NR_125895	643	466.369	0	0
NR_125909	2838	2661.11	0	0
NR_039650	86	18.3423	0	0
NR_120521	1187	1010.11	0.278257	5
NR_039766	55	11.201	0	0
NR_037436	97	20.6269	0	0
NR_036243	76	16.0109	0	0
NR_028471	1060	883.115	0	0
NR_027251	1698	1521.11	0.814008	22.0264
NR_047029	798	621.281	0	0
NR_047015	411	235.588	0	0
NR_046547	307	136.332	0.412333	1
NR_039784	66	13.6684	0	0
NR_045529	4983	4806.11	0.257321	22
NR_110525	768	591.291	0	0
NR_037839	880	703.247	0	0
NR_003082	2070	1893.11	0	0
NR_125932	1506	1329.11	0	0
NR_046262	5346	5169.11	4.23589	389.506
NR_024274	616	439.392	0	0
NR_037184	631	454.377	0.247434	2
NR_103717	2186	2009.11	0	0
NR_027080	1371	1194.11	0	0
NR_126347	779	602.288	0	0
NR_126360	311	139.979	0	0
NR_126379	715	538.318	0	0
NR_126377	2359	2182.11	0	0
NR_126390	3939	3762.11	0	0
NR_126392	618	441.39	0	0
NR_126452	1428	1251.11	0	0
NR_049849	60	12.3927	0	0
NR_049883	72	14.9923	0	0
NR_049882	78	16.4995	0	0
NR_027695	860	683.26	0	0
NR_125806	1095	918.115	0	0
NR_003945	8741	8564.11	49.9018	7602.42
NR_031690	77	16.2711	0	0
NR_030384	95	20.356	0	0
NR_031735	80	16.9125	3.32383	1
NR_030194	87	18.6035	0	0
NR_030590	79	16.6993	0	0
NR_030307	96	20.5646	0	0
NR_039793	76	16.0109	0	0
NR_030337	96	20.5646	0	0
NR_036145	84	17.8187	0	0
NR_036143	84	17.8187	0	0
NR_031658	117	12.6477	0	0
NR_030363	98	20.1392	0	0
