Name	Length	EffectiveLength	TPM	NumReads
NR_103451	865	646.041	0	0
NM_001243523	577	359.313	0	0
NR_038931	2432	2212.54	1.63277	62.2958
NR_110396	2909	2689.54	9.5882	444.69
NR_038401	2146	1926.54	0	0
NR_027354	1104	884.536	1.14979	17.5379
NR_027311	2290	2070.54	0	0
NM_001257177	2344	2124.54	0.0545912	2
NR_026954	2761	2541.54	0.0684513	3
NR_036538	1964	1744.54	0.0664824	2
NR_002186	2760	2540.54	23.2774	1019.77
NR_003542	751	532.222	0.217918	2
NR_015444	2012	1792.54	0	0
NR_024013	608	389.975	1.33833	9
NR_024365	2241	2021.54	0.0350139	1.22058
NR_027312	2293	2073.54	0	0
NR_027417	2097	1877.54	0	0
NR_110209	2275	2055.54	0.502889	17.8254
NR_039980	2328	2108.54	34.3018	1247.22
NR_033896	1022	802.536	2.59251	35.878
NR_026998	1016	796.536	0.583309	8.01212
NR_026964	5022	4802.54	0	0
NR_030728	1739	1519.54	0	0
NR_109948	4824	4604.54	0	0
NR_027240	4162	3942.54	0.970889	66.0068
NR_033748	1724	1504.54	0	0
NR_026657	502	285.909	1.01414	5
NR_046107	3729	3509.54	0	0
NR_102268	670	451.528	0	0
NR_034127	1796	1576.54	8.94285	243.121
NR_036691	1354	1134.54	0	0
NR_026877	2211	1991.54	0	0
NR_026967	2078	1858.54	2.44659	78.4106
NR_027282	2112	1892.54	2.39832	78.2698
NR_104171	2365	2145.54	0	0
NR_110248	1880	1660.54	0	0
NR_110737	781	562.156	1.09556	10.6203
NR_110738	710	491.349	0	0
NR_110804	2265	2045.54	2.99221	105.546
NR_120363	2535	2315.54	2.28953	91.4199
NR_120402	1301	1081.54	0	0
NR_024498	3653	3433.54	10.8129	640.214
NR_120424	1762	1542.54	5.51834	146.787
NR_120422	1959	1739.54	0	0
NR_120450	2459	2239.54	0.452983	17.4938
NR_120606	1182	962.536	0	0
NR_120653	2042	1822.54	0	0
NR_121579	1139	919.536	0.865575	13.7251
NR_121582	3031	2811.54	3.5504	172.133
NR_121623	860	641.043	0	0
NR_122121	692	473.431	0.490415	4.00372
NR_125390	2218	1998.54	0.145082	5
NR_125428	990	770.904	0	0
NR_125855	693	474.426	0.255201	2.08782
NR_125868	898	678.984	0	0
NR_125862	1548	1328.54	0	0
NR_125894	2121	1901.54	0	0
NR_125895	643	424.678	0	0
NR_125909	2838	2618.54	0	0
NR_039650	86	19.4275	66.3339	22.2227
NR_120521	1187	967.536	0.359617	6
NR_039766	55	5.88433	0	0
NR_037436	97	21.0127	0	0
NR_036243	76	15.4837	0	0
NR_028471	1060	840.536	0	0
NR_027251	1698	1478.54	3.77319	96.202
NR_047029	798	579.134	0	0
NR_047015	411	199.497	0	0
NR_046547	307	108.961	0	0
NR_039784	66	10.2683	0	0
NR_045529	4983	4763.54	0.71646	58.8525
NR_110525	768	549.177	0	0
NR_037839	880	661.016	0	0
NR_003082	2070	1850.54	2.44899	78.1497
NR_125932	1506	1286.54	0.0451227	1.00106
NR_046262	5346	5126.54	14.7767	1306.3
NR_024274	616	397.909	0	0
NR_037184	631	412.771	0.562582	4.00441
NR_103717	2186	1966.54	0	0
NR_027080	1371	1151.54	0	0
NR_126347	779	560.161	0.207049	2
NR_126360	311	112.163	0	0
NR_126379	715	496.334	0	0
NR_126377	2359	2139.54	0	0
NR_126390	3939	3719.54	0	0
NR_126392	618	399.891	0	0
NR_126452	1428	1208.54	0	0
NR_049849	60	7.73332	0	0
NR_049883	72	13.3882	0	0
NR_049882	78	16.4585	0	0
NR_027695	860	641.043	0	0
NR_125806	1095	875.536	0	0
NR_003945	8741	8521.54	68.2178	10024.4
NR_031690	77	15.9818	0	0
NR_030384	95	21.0388	0	0
NR_031735	80	17.4221	0	0
NR_030194	87	19.709	0	0
NR_030590	79	16.9393	0	0
NR_030307	96	21.0408	0	0
NR_039793	76	15.4837	0	0
NR_030337	96	21.0408	0	0
NR_036145	84	18.8758	0	0
NR_036143	84	18.8758	0	0
NR_031658	117	17.5907	0	0
NR_030363	98	20.9375	0	0
NR_030356	94	20.9969	0	0
NR_031642	84	18.8758	0	0
NR_031708	84	18.8758	0	0
NR_030589	77	15.9818	0	0
NR_030581	79	16.9393	0	0
NR_039659	55	5.88433	0	0
NR_031604	76	15.4837	0	0
NR_031746	49	7.35302	0	0
NR_030408	66	10.2683	0	0
NR_030309	75	14.9658	0	0
NR_031677	102	20.3663	0	0
NR_030331	98	20.9375	0	0
NR_030628	53	5.47651	0	0
NR_037442	65	9.83675	0	0
NR_030760	98	20.9375	0	0
NR_039933	76	15.4837	0	0
NR_030289	79	16.9393	0	0
NR_031715	47	7.6389	0	0
NR_031752	100	20.682	0	0
NR_031667	86	19.4275	0	0
NR_030362	94	20.9969	0	0
NR_031646	86	19.4275	0	0
NR_030348	97	21.0127	0	0
NR_030395	100	20.682	0	0
NR_031710	79	16.9393	0	0
NR_031624	116	17.7307	0	0
NR_039871	76	15.4837	0	0
NR_039794	76	15.4837	0	0
NR_030280	96	21.0408	0	0
NR_030626	56	6.19781	0	0
NR_030641	94	20.9969	0	0
NR_030322	95	21.0388	0	0
NR_031635	90	20.4701	0	0
NR_031683	72	13.3882	0	0
NR_036140	84	18.8758	0	0
NR_049832	65	9.83675	0	0
NR_030279	68	11.2471	0	0
NR_030340	95	21.0388	0	0
NR_030374	94	20.9969	0	0
NR_126517	909	689.97	0	0
NR_002954	147	19.2088	6.52416	2.16107
NR_030342	67	10.7365	0	0
NR_031685	78	16.4585	0	0
NR_033926	2652	2432.54	11.8293	496.208
NR_130727	3613	3393.54	0.0171049	1.00096
NR_130768	1392	1172.54	0	0
NR_130772	5345	5125.54	1.2761	112.79
NR_130771	5438	5218.54	1.57606e-10	1.41829e-08
NR_046619	448	234.129	0	0
NR_047025	868	649.036	0	0
NR_126560	2055	1835.54	0	0
NR_039667	83	18.6053	0	0
NR_003138	1980	1760.54	8.86504	269.134
NR_026808	3281	3061.54	12.7936	675.421
NR_024277	1869	1649.54	4.85688	138.154
NR_046820	764	545.184	0	0
NR_104158	399	188.487	0	0
NR_126441	734	515.263	8.22778	73.1064
NR_024615	2264	2044.54	0	0
NR_027715	1839	1619.54	3.13693	87.6071
NR_026812	1502	1282.54	2.26936	50.19
NR_024560	3024	2804.54	0	0
NR_046218	554	336.677	0	0
NR_003934	2426	2206.54	0.182933	6.9606
NR_077215	1890	1670.54	0.173788	5.00633
NR_120396	1243	1023.54	0	0
NR_027420	8205	7985.54	12.9412	1782.05
NM_001287812	767	548.179	0	0
NM_153478	886	666.998	0	0
NM_001288707	1838	1618.54	8.6676	241.916
NR_126421	928	708.947	0.314924	3.85002
NR_126515	604	386.013	0.0703968	0.468596
NR_027006	5153	4933.54	2.52647	214.939
NR_130112	1132	912.536	2.0748	32.649
NR_130113	1037	817.536	0	0
NR_130114	1028	808.536	2.52282	35.1746
NR_130642	4883	4663.54	0	0
NR_130643	2216	1996.54	0	0
NR_130649	2502	2282.54	1.15658	45.5235
NR_130705	1034	814.536	1.6788	23.5805
NR_130714	1508	1288.54	0.157545	3.50061
NR_130715	1781	1561.54	0.594189	16
NR_130907	675	456.499	0	0
NR_130911	2189	1969.54	5.10504	173.383
NR_130976	4763	4543.54	0.000858524	0.0672651
NR_130978	4771	4551.54	6.67999	524.297
NR_046097	2594	2374.54	9.61805	393.83
NR_104674	699	480.397	0	0
NR_046100	3469	3249.54	0	0
NR_033912	5249	5029.54	0.737919	64
NR_033913	2702	2482.54	3.08626	132.121
NR_029411	2712	2492.54	3.03064	130.263
NR_034078	619	400.882	12.6029	87.1225
NR_034079	616	397.909	24.5185	168.237
NR_034161	722	503.306	0.461134	4.00224
NR_109874	830	611.082	0.790021	8.32495
NR_029192	1262	1042.54	5.98613	107.617
NR_038253	5762	5542.54	1.89842	181.444
NR_038254	5662	5442.54	0.302037	28.3468
NR_110246	582	364.253	0	0
NR_038255	5567	5347.54	0.0998684	9.20927
NR_077227	4369	4149.54	0	0
NR_110247	579	361.29	0	0
NR_027089	1681	1461.54	0	0
NR_026658	917	697.963	6.32584	76.1367
NR_040091	3213	2993.54	4.03029	208.049
NR_046289	538	320.988	0	0
NR_046288	588	370.184	0.00575524	0.0367388
NR_046290	535	318.048	0.908301	4.98157
NR_036486	2130	1910.54	0	0
NR_034086	2160	1940.54	5.61102	187.762
NR_034133	2674	2454.54	0	0
NR_040095	1224	1004.54	0	0
NR_110255	3609	3389.54	0	0
NR_046114	3366	3146.54	0	0
NR_105008	666	447.549	0	0
NR_029393	2051	1831.54	0	0
