Name	Length	EffectiveLength	TPM	NumReads
NR_103451	865	693.709	0	0
NM_001243523	577	406	0	0
NR_038931	2432	2260.48	1.75059	37.2192
NR_110396	2909	2737.48	0.390632	10.0578
NR_038401	2146	1974.48	0	0
NR_027354	1104	932.476	0.230496	2.02154
NR_027311	2290	2118.48	0	0
NM_001257177	2344	2172.48	0	0
NR_026954	2761	2589.48	0.32847	8
NR_036538	1964	1792.48	0	0
NR_002186	2760	2588.48	10.8042	263.038
NR_003542	751	579.801	5.13448	28
NR_015444	2012	1840.48	0	0
NR_024013	608	436.958	0	0
NR_024365	2241	2069.48	0	0
NR_027312	2293	2121.48	0	0
NR_027417	2097	1925.48	0	0
NR_110209	2275	2103.48	0	0
NR_039980	2328	2156.48	1.6088	32.6309
NR_033896	1022	850.476	2.50586	20.0448
NR_026998	1016	844.476	0.251802	2
NR_026964	5022	4850.48	0.0438629	2.00108
NR_030728	1739	1567.48	0.135676	2.00026
NR_109948	4824	4652.48	0	0
NR_027240	4162	3990.48	0	0
NR_033748	1724	1552.48	0	0
NR_026657	502	331.153	0	0
NR_046107	3729	3557.48	0	0
NR_102268	670	498.889	0	0
NR_034127	1796	1624.48	2.93142	44.7894
NR_036691	1354	1182.48	0	0
NR_026877	2211	2039.48	0	0
NR_026967	2078	1906.48	0.4973	8.91728
NR_027282	2112	1940.48	0.329279	6.00974
NR_104171	2365	2193.48	0	0
NR_110248	1880	1708.48	0	0
NR_110737	781	609.784	0	0
NR_110738	710	538.842	0.197313	1
NR_110804	2265	2093.48	0	0
NR_120363	2535	2363.48	0	0
NR_120402	1301	1129.48	0	0
NR_024498	3653	3481.48	2.33079	76.3218
NR_120424	1762	1590.48	0	0
NR_120422	1959	1787.48	0	0
NR_120450	2459	2287.48	0	0
NR_120606	1182	1010.48	0	0
NR_120653	2042	1870.48	0	0
NR_121579	1139	967.476	0.113965	1.03703
NR_121582	3031	2859.48	0	0
NR_121623	860	688.716	0	0
NR_122121	692	520.862	1.42887	7
NR_125390	2218	2046.48	0.103906	2
NR_125428	990	818.613	0	0
NR_125855	693	521.861	0	0
NR_125868	898	726.671	0	0
NR_125862	1548	1376.48	0	0
NR_125894	2121	1949.48	0	0
NR_125895	643	471.917	0	0
NR_125909	2838	2666.48	0	0
NR_039650	86	18.8372	0	0
NR_120521	1187	1015.48	0	0
NR_039766	55	11.0051	0	0
NR_037436	97	21.4909	0	0
NR_036243	76	16.0919	0	0
NR_028471	1060	888.476	0	0
NR_027251	1698	1526.48	1.04476	15
NR_047029	798	626.776	0	0
NR_047015	411	240.804	0	0
NR_046547	307	140.462	0	0
NR_039784	66	13.6015	0	0
NR_045529	4983	4811.48	0.0883891	4
NR_110525	768	596.789	0	0
NR_037839	880	708.687	0	0
NR_003082	2070	1898.48	0.173459	3.09731
NR_125932	1506	1334.48	0.159456	2.0014
NR_046262	5346	5174.48	5.31685	258.764
NR_024274	616	444.949	0	0
NR_037184	631	459.929	0.231167	1
NR_103717	2186	2014.48	0	0
NR_027080	1371	1199.48	0	0
NR_126347	779	607.785	0	0
NR_126360	311	144.179	0	0
NR_126379	715	543.839	0.1955	1
NR_126377	2359	2187.48	0	0
NR_126390	3939	3767.48	0	0
NR_126392	618	446.944	0	0
NR_126452	1428	1256.48	0	0
NR_049849	60	12.1194	0	0
NR_049883	72	15.031	0	0
NR_049882	78	16.6285	0	0
NR_027695	860	688.716	0	0
NR_125806	1095	923.476	0	0
NR_003945	8741	8569.48	2.76618	222.955
NR_031690	77	16.3677	0	0
NR_030384	95	21.1073	0	0
NR_031735	80	17.1717	0	0
NR_030194	87	19.0779	0	0
NR_030590	79	16.8936	0	0
NR_030307	96	21.3329	0	0
NR_039793	76	16.0919	0	0
NR_030337	96	21.3329	0	0
NR_036145	84	18.3085	0	0
NR_036143	84	18.3085	0	0
NR_031658	117	15.278	0	0
NR_030363	98	21.3591	0	0
NR_030356	94	20.8725	0	0
NR_031642	84	18.3085	0	0
NR_031708	84	18.3085	0	0
NR_030589	77	16.3677	0	0
NR_030581	79	16.8936	0	0
NR_039659	55	11.0051	0	0
NR_031604	76	16.0919	0	0
NR_031746	49	9.62213	0	0
NR_030408	66	13.6015	0	0
NR_030309	75	15.8008	0	0
NR_031677	102	17.8919	0	0
NR_030331	98	21.3591	0	0
NR_030628	53	10.5672	0	0
NR_037442	65	13.3733	0	0
NR_030760	98	21.3591	0	0
NR_039933	76	16.0919	0	0
NR_030289	79	16.8936	0	0
NR_031715	47	9.13906	0	0
NR_031752	100	19.7442	0	0
NR_031667	86	18.8372	0	0
NR_030362	94	20.8725	0	0
NR_031646	86	18.8372	0	0
NR_030348	97	21.4909	0	0
NR_030395	100	19.7442	0	0
NR_031710	79	16.8936	0	0
NR_031624	116	15.2194	0	0
NR_039871	76	16.0919	0	0
NR_039794	76	16.0919	0	0
NR_030280	96	21.3329	0	0
NR_030626	56	11.2298	0	0
NR_030641	94	20.8725	0	0
NR_030322	95	21.1073	0	0
NR_031635	90	19.881	0	0
NR_031683	72	15.031	0	0
NR_036140	84	18.3085	0	0
NR_049832	65	13.3733	0	0
NR_030279	68	14.0595	0	0
NR_030340	95	21.1073	0	0
NR_030374	94	20.8725	0	0
NR_126517	909	737.66	0	0
NR_002954	147	22.566	0	0
NR_030342	67	13.8288	0	0
NR_031685	78	16.6285	0	0
NR_033926	2652	2480.48	1.36164	31.7674
NR_130727	3613	3441.48	0	0
NR_130768	1392	1220.48	0	0
NR_130772	5345	5173.48	0.219224	10.6673
NR_130771	5438	5266.48	5.85758e-10	2.90149e-08
NR_046619	448	277.426	0	0
NR_047025	868	696.703	0	0
NR_126560	2055	1883.48	0	0
NR_039667	83	18.0361	0	0
NR_003138	1980	1808.48	1.23615	21.0265
NR_026808	3281	3109.48	0.578098	16.9072
NR_024277	1869	1697.48	0.200924	3.20788
NR_046820	764	592.79	0	0
NR_104158	399	228.987	0	0
NR_126441	734	562.823	0.189056	1.0008
NR_024615	2264	2092.48	0	0
NR_027715	1839	1667.48	0.514549	8.06993
NR_026812	1502	1330.48	0	0
NR_024560	3024	2852.48	0	0
NR_046218	554	383.032	0	0
NR_003934	2426	2254.48	0	0
NR_077215	1890	1718.48	0.435384	7.03719
NR_120396	1243	1071.48	0	0
NR_027420	8205	8033.48	0.365394	27.6088
NM_001287812	767	595.789	0.356907	2
NM_153478	886	714.682	0	0
NM_001288707	1838	1666.48	0	0
NR_126421	928	756.641	0	0
NR_126515	604	432.962	0	0
NR_027006	5153	4981.48	0	0
NR_130112	1132	960.476	0.746866	6.74702
NR_130113	1037	865.476	0	0
NR_130114	1028	856.476	2.19246	17.6616
NR_130642	4883	4711.48	0.101688	4.50618
NR_130643	2216	2044.48	0	0
NR_130649	2502	2330.48	0.452913	9.92756
NR_130705	1034	862.476	0.294347	2.38775
NR_130714	1508	1336.48	0	0
NR_130715	1781	1609.48	0	0
NR_130907	675	503.885	0	0
NR_130911	2189	2017.48	0.969863	18.4036
NR_130976	4763	4591.48	0.551051	23.7973
NR_130978	4771	4599.48	1.2758	55.1918
NR_046097	2594	2422.48	1.12832	25.7084
NR_104674	699	527.857	0	0
NR_046100	3469	3297.48	0.0338427	1.04962
NR_033912	5249	5077.48	0.0418793	2
NR_033913	2702	2530.48	0.381427	9.07812
NR_029411	2712	2540.48	2.39895	57.3218
NR_034078	619	447.943	2.12721	8.96222
NR_034079	616	444.949	2.15958	9.03778
NR_034161	722	550.836	0	0
NR_109874	830	658.752	0	0
NR_029192	1262	1090.48	0.196535	2.01576
NR_038253	5762	5590.48	0.975017	51.2677
NR_038254	5662	5490.48	0.348893	18.0171
NR_110246	582	410.995	0	0
NR_038255	5567	5395.48	0	0
NR_077227	4369	4197.48	0	0
NR_110247	579	407.998	0	0
NR_027089	1681	1509.48	0	0
NR_026658	917	745.647	1.71106	12
NR_040091	3213	3041.48	1.00986	28.8886
NR_046289	538	367.056	0	0
NR_046288	588	416.987	0	0
NR_046290	535	364.063	0.584078	2
NR_036486	2130	1958.48	0	0
NR_034086	2160	1988.48	0.244253	4.56819
NR_034133	2674	2502.48	0	0
NR_040095	1224	1052.48	0	0
NR_110255	3609	3437.48	0	0
NR_046114	3366	3194.48	0	0
NR_105008	666	494.892	0	0
NR_029393	2051	1879.48	0	0
NR_110216	1196	1024.48	0	0
NR_046116	2787	2615.48	0	0
NR_037585	730	558.827	0	0
NR_024102	609	437.957	0	0
NR_037586	724	552.834	0	0
NR_024453	1594	1422.48	0.483613	6.47032
NR_105056	1024	852.476	0	0
NR_036526	3218	3046.48	0.282435	8.09281
NR_108080	1186	1014.48	0.524017	5
NR_036528	6930	6758.48	0.469349	29.8351
NR_036529	5797	5625.48	0	0
NR_110185	588	416.987	0	0
NR_047662	3982	3810.48	1.77184	63.5019
NR_033841	2274	2102.48	0	0
NR_104132	629	457.931	0	0
NR_110730	1115	943.476	12.1502	107.819
NR_110744	2151	1979.48	0.0539679	1.00478
NR_110803	694	522.861	2.24076	11.0195
NR_026847	2034	1862.48	0	0
NR_102752	1548	1376.48	5.3954	69.8514
NR_110809	6113	5941.48	0	0
NR_033852	2737	2565.48	0.0416107	1.00405
NR_002821	494	323.182	4.9261	14.9738
NR_038917	1436	1264.48	0	0
NR_110877	582	410.995	0	0
NR_024264	2987	2815.48	0	0
NR_024279	2732	2560.48	3.40026	81.8871
NR_024280	2194	2022.48	0	0
NR_103772	1076	904.476	3.36984	28.6674
NR_040029	2582	2410.48	0	0
NR_024374	3514	3342.48	1.4426	45.3521
NR_026682	1594	1422.48	0.244064	3.26537
NR_026943	7181	7009.48	1.28929	85
NR_103852	685	513.872	0	0
NR_024452	1210	1038.48	0.102381	1
NR_110930	1349	1177.48	0	0
NR_110931	1817	1645.48	0.129228	2
NR_110932	1816	1644.48	0	0
NR_015445	1002	830.476	0	0
NR_024476	1714	1542.48	1.30972	19.0012
NR_110939	1454	1282.48	0	0
NR_110943	545	374.045	0	0
NR_040034	2809	2637.48	0	0
NR_111907	4834	4662.48	0.816119	35.7893
NR_111911	3780	3608.48	0	0
NR_024563	3895	3723.48	0	0
NR_024569	5001	4829.48	0.895833	40.6921
NR_037597	3330	3158.48	0.033662	1
NR_024623	1203	1031.48	0.510637	4.95398
