Name	Length	EffectiveLength	TPM	NumReads
NR_103451	865	693.477	0	0
NM_001243523	577	405.634	0	0
NR_038931	2432	2260.34	0	0
NR_110396	2909	2737.34	0.241428	19.1491
NR_038401	2146	1974.34	0	0
NR_027354	1104	932.341	0.0372296	1.00576
NR_027311	2290	2118.34	0	0
NM_001257177	2344	2172.34	0	0
NR_026954	2761	2589.34	0.0533137	4
NR_036538	1964	1792.34	0	0
NR_002186	2760	2588.34	5.78161	433.613
NR_003542	751	579.516	7.98008	134
NR_015444	2012	1840.34	0.0187529	1
NR_024013	608	436.609	1.18568	15
NR_024365	2241	2069.34	0	0
NR_027312	2293	2121.34	0	0
NR_027417	2097	1925.34	0	0
NR_110209	2275	2103.34	0	0
NR_039980	2328	2156.34	0.818434	51.1368
NR_033896	1022	850.341	0.0811717	2
NR_026998	1016	844.341	0.0410422	1.00411
NR_026964	5022	4850.34	0	0
NR_030728	1739	1567.34	0	0
NR_109948	4824	4652.34	0	0
NR_027240	4162	3990.34	0	0
NR_033748	1724	1552.34	0	0
NR_026657	502	330.771	0	0
NR_046107	3729	3557.34	0	0
NR_102268	670	498.567	0	0
NR_034127	1796	1624.34	1.28155	60.3177
NR_036691	1354	1182.34	0	0
NR_026877	2211	2039.34	0	0
NR_026967	2078	1906.34	0.35399	19.5535
NR_027282	2112	1940.34	0	0
NR_104171	2365	2193.34	0	0
NR_110248	1880	1708.34	0.225467	11.1607
NR_110737	781	609.508	0	0
NR_110738	710	538.541	0	0
NR_110804	2265	2093.34	0	0
NR_120363	2535	2363.34	0	0
NR_120402	1301	1129.34	0	0
NR_024498	3653	3481.34	0.981852	99.0432
NR_120424	1762	1590.34	0	0
NR_120422	1959	1787.34	0	0
NR_120450	2459	2287.34	0	0
NR_120606	1182	1010.34	0	0
NR_120653	2042	1870.34	0	0
NR_121579	1139	967.341	0	0
NR_121582	3031	2859.34	0.0128786	1.06701
NR_121623	860	688.479	0	0
NR_122121	692	520.554	0.397962	6.0026
NR_125390	2218	2046.34	0	0
NR_125428	990	818.418	0	0
NR_125855	693	521.553	0	0
NR_125868	898	726.45	0	0
NR_125862	1548	1376.34	0.025075	1
NR_125894	2121	1949.34	0	0
NR_125895	643	471.581	0	0
NR_125909	2838	2666.34	0	0
NR_039650	86	18.491	0	0
NR_120521	1187	1015.34	0	0
NR_039766	55	11.5188	0	0
